prefix,best_action
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'Breast Examination', 'Gynecological Examination', 'Post-bronchodilator Spirometry', 'In-depth Eye Examination', 'General Ultrasound', 'Cardiac Ultrasound')",Chest X-ray
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Eye Examination', 'Dental Examination', 'ENT Examination', 'Post-bronchodilator Spirometry')",Blood Test
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'Eye Examination', 'Cardiac Ultrasound', 'Urine Test', 'Electrocardiogram (ECG)')",In-depth Eye Examination
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'ENT Examination', 'Eye Examination', 'Breast Examination', 'Urine Test')",Post-bronchodilator Spirometry
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'Eye Examination', 'ENT Examination', 'In-depth Eye Examination', 'Electrocardiogram (ECG)')",Conclusion
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'Breast Examination', 'Gynecological Examination', 'Post-bronchodilator Spirometry', 'In-depth Eye Examination', 'General Ultrasound', 'Cardiac Ultrasound', 'Chest X-ray')",DEXA Bone Density Scan
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'ENT Examination', 'Electrocardiogram (ECG)', 'Cardiac Ultrasound', 'ENT Endoscopy', 'DEXA Bone Density Scan', 'General Ultrasound', 'Blood Test', 'In-depth Eye Examination', 'Post-bronchodilator Spirometry', 'Urine Test')",Chest X-ray
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'ENT Examination', 'Eye Examination', 'Breast Examination', 'DEXA Bone Density Scan', 'ENT Endoscopy', 'General Ultrasound', 'Cardiac Ultrasound', 'Chest X-ray')",Conclusion
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'ENT Examination', 'Gynecological Examination', 'Breast Examination', 'Dental Examination', 'In-depth Eye Examination', 'Urine Test')",Electrocardiogram (ECG)
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Gynecological Examination', 'Dental Examination', 'ENT Examination', 'Breast Examination', 'Post-bronchodilator Spirometry')",Urine Test
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Breast Examination', 'Dental Examination', 'ENT Examination', 'Chest X-ray')",Urine Test
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Eye Examination', 'Dental Examination', 'Blood Test', 'Chest X-ray', 'Cardiac Ultrasound')",Conclusion
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'Breast Examination', 'Gynecological Examination', 'Eye Examination', 'ENT Examination', 'General Ultrasound', 'Urine Test', 'DEXA Bone Density Scan', 'ENT Endoscopy', 'Blood Test', 'Post-bronchodilator Spirometry')",Chest X-ray
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Breast Examination', 'Eye Examination', 'Urine Test', 'Post-bronchodilator Spirometry', 'ENT Endoscopy', 'Electrocardiogram (ECG)', 'DEXA Bone Density Scan', 'Cardiac Ultrasound')",General Ultrasound
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'ENT Examination', 'Eye Examination', 'DEXA Bone Density Scan', 'Chest X-ray', 'Urine Test', 'Electrocardiogram (ECG)', 'ENT Endoscopy', 'In-depth Eye Examination')",Blood Test
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'ENT Examination', 'Electrocardiogram (ECG)', 'Cardiac Ultrasound', 'ENT Endoscopy', 'DEXA Bone Density Scan', 'General Ultrasound', 'Blood Test', 'In-depth Eye Examination', 'Post-bronchodilator Spirometry')",Urine Test
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'ENT Examination', 'Breast Examination', 'Dental Examination', 'Gynecological Examination', 'DEXA Bone Density Scan', 'Chest X-ray', 'Urine Test', 'Cardiac Ultrasound', 'General Ultrasound')",Electrocardiogram (ECG)
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'Post-bronchodilator Spirometry', 'Blood Test', 'Urine Test', 'Electrocardiogram (ECG)', 'Cardiac Ultrasound', 'General Ultrasound')",Conclusion
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'Breast Examination', 'Gynecological Examination', 'Post-bronchodilator Spirometry', 'In-depth Eye Examination')",General Ultrasound
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Eye Examination', 'Dental Examination', 'General Ultrasound', 'Post-bronchodilator Spirometry', 'Urine Test')",Conclusion
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Breast Examination', 'Dental Examination', 'ENT Examination', 'Chest X-ray', 'Urine Test', 'Post-bronchodilator Spirometry')",Conclusion
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Urine Test', 'DEXA Bone Density Scan', 'In-depth Eye Examination', 'General Ultrasound')",Blood Test
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'ENT Examination', 'Breast Examination', 'Dental Examination', 'Chest X-ray', 'Post-bronchodilator Spirometry')",Blood Test
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'Post-bronchodilator Spirometry', 'Blood Test', 'Urine Test', 'Electrocardiogram (ECG)')",Cardiac Ultrasound
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Breast Examination', 'Urine Test', 'Cardiac Ultrasound')",DEXA Bone Density Scan
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'Eye Examination', 'Gynecological Examination')",Breast Examination
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'Gynecological Examination', 'Eye Examination', 'ENT Examination', 'DEXA Bone Density Scan', 'Blood Test', 'Post-bronchodilator Spirometry', 'Electrocardiogram (ECG)')",Conclusion
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Breast Examination', 'Cardiac Ultrasound')",Urine Test
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'ENT Examination', 'Electrocardiogram (ECG)', 'General Ultrasound', 'Blood Test', 'DEXA Bone Density Scan')",In-depth Eye Examination
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'ENT Examination', 'Eye Examination', 'Breast Examination', 'DEXA Bone Density Scan', 'ENT Endoscopy', 'General Ultrasound')",Cardiac Ultrasound
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'Eye Examination', 'Breast Examination', 'ENT Examination', 'In-depth Eye Examination', 'Chest X-ray', 'DEXA Bone Density Scan', 'Blood Test', 'General Ultrasound', 'Post-bronchodilator Spirometry')",Electrocardiogram (ECG)
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Chest X-ray', 'Blood Test', 'Post-bronchodilator Spirometry')",Cardiac Ultrasound
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Eye Examination', 'ENT Examination', 'Dental Examination')",Urine Test
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'ENT Examination', 'Electrocardiogram (ECG)', 'General Ultrasound', 'Blood Test', 'DEXA Bone Density Scan', 'In-depth Eye Examination', 'Cardiac Ultrasound')",Urine Test
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Eye Examination', 'Breast Examination', 'ENT Examination')",Dental Examination
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'ENT Examination', 'Eye Examination', 'Breast Examination', 'Urine Test', 'Post-bronchodilator Spirometry', 'Blood Test', 'ENT Endoscopy', 'DEXA Bone Density Scan', 'General Ultrasound', 'In-depth Eye Examination', 'Cardiac Ultrasound', 'Electrocardiogram (ECG)', 'Chest X-ray')",Conclusion
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Breast Examination', 'Eye Examination', 'Urine Test', 'Post-bronchodilator Spirometry', 'ENT Endoscopy', 'Electrocardiogram (ECG)', 'DEXA Bone Density Scan', 'Cardiac Ultrasound', 'General Ultrasound', 'In-depth Eye Examination', 'Blood Test')",Chest X-ray
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'Eye Examination', 'Breast Examination', 'ENT Examination')",In-depth Eye Examination
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'Eye Examination', 'Chest X-ray', 'Cardiac Ultrasound', 'General Ultrasound', 'ENT Endoscopy', 'Blood Test')",In-depth Eye Examination
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'DEXA Bone Density Scan', 'Electrocardiogram (ECG)', 'Blood Test', 'Post-bronchodilator Spirometry')",ENT Endoscopy
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Breast Examination', 'Urine Test', 'In-depth Eye Examination')",General Ultrasound
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'ENT Examination', 'Eye Examination', 'In-depth Eye Examination', 'Cardiac Ultrasound', 'Post-bronchodilator Spirometry')",Conclusion
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Urine Test', 'DEXA Bone Density Scan', 'In-depth Eye Examination', 'General Ultrasound', 'Blood Test')",Electrocardiogram (ECG)
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Eye Examination', 'Dental Examination', 'ENT Examination', 'Post-bronchodilator Spirometry', 'Blood Test', 'DEXA Bone Density Scan', 'Chest X-ray', 'In-depth Eye Examination', 'Urine Test', 'Electrocardiogram (ECG)')",General Ultrasound
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Gynecological Examination', 'Dental Examination', 'ENT Examination', 'Breast Examination', 'Post-bronchodilator Spirometry', 'Urine Test', 'Cardiac Ultrasound', 'In-depth Eye Examination', 'Chest X-ray')",Conclusion
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Post-bronchodilator Spirometry', 'Cardiac Ultrasound', 'In-depth Eye Examination', 'DEXA Bone Density Scan', 'Urine Test')",Electrocardiogram (ECG)
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Urine Test', 'DEXA Bone Density Scan', 'In-depth Eye Examination', 'General Ultrasound', 'Blood Test', 'Electrocardiogram (ECG)', 'Post-bronchodilator Spirometry', 'Cardiac Ultrasound', 'Chest X-ray')",ENT Endoscopy
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'ENT Endoscopy', 'In-depth Eye Examination')",Urine Test
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'General Ultrasound', 'DEXA Bone Density Scan', 'Chest X-ray')",Blood Test
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Breast Examination', 'ENT Examination', 'Eye Examination', 'Dental Examination', 'Gynecological Examination', 'Cardiac Ultrasound', 'Urine Test', 'In-depth Eye Examination', 'Post-bronchodilator Spirometry', 'General Ultrasound', 'Electrocardiogram (ECG)')",Blood Test
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Eye Examination', 'In-depth Eye Examination', 'General Ultrasound', 'Blood Test', 'Cardiac Ultrasound', 'ENT Endoscopy', 'DEXA Bone Density Scan', 'Chest X-ray')",Electrocardiogram (ECG)
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'General Ultrasound', 'In-depth Eye Examination', 'DEXA Bone Density Scan')",Conclusion
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Eye Examination', 'ENT Examination', 'Gynecological Examination')",Dental Examination
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'DEXA Bone Density Scan', 'ENT Endoscopy', 'Electrocardiogram (ECG)', 'Cardiac Ultrasound', 'In-depth Eye Examination', 'Blood Test', 'Post-bronchodilator Spirometry', 'Urine Test', 'Chest X-ray')",Conclusion
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Eye Examination', 'Dental Examination', 'Urine Test', 'In-depth Eye Examination', 'Post-bronchodilator Spirometry', 'DEXA Bone Density Scan')",Electrocardiogram (ECG)
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Eye Examination', 'ENT Examination', 'ENT Endoscopy', 'Electrocardiogram (ECG)', 'In-depth Eye Examination', 'Chest X-ray', 'Urine Test')",Conclusion
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'ENT Examination', 'Eye Examination', 'Post-bronchodilator Spirometry', 'Chest X-ray')",Cardiac Ultrasound
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'ENT Examination', 'Dental Examination', 'Breast Examination', 'Eye Examination', 'Electrocardiogram (ECG)', 'General Ultrasound', 'Chest X-ray')",DEXA Bone Density Scan
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'ENT Examination', 'Breast Examination', 'Dental Examination', 'Gynecological Examination', 'DEXA Bone Density Scan', 'Chest X-ray', 'Urine Test')",Cardiac Ultrasound
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Breast Examination', 'Urine Test', 'Cardiac Ultrasound', 'DEXA Bone Density Scan', 'ENT Endoscopy', 'Blood Test', 'In-depth Eye Examination', 'Post-bronchodilator Spirometry', 'General Ultrasound')",Conclusion
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Breast Examination', 'Cardiac Ultrasound', 'Urine Test', 'Electrocardiogram (ECG)')",Post-bronchodilator Spirometry
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'Breast Examination', 'Gynecological Examination', 'ENT Examination', 'Urine Test', 'General Ultrasound', 'Electrocardiogram (ECG)', 'Post-bronchodilator Spirometry', 'Cardiac Ultrasound', 'DEXA Bone Density Scan', 'Chest X-ray')",Conclusion
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'Eye Examination', 'Cardiac Ultrasound')",Urine Test
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Eye Examination', 'Gynecological Examination')",Breast Examination
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'ENT Examination', 'Eye Examination', 'Dental Examination')",In-depth Eye Examination
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'ENT Examination', 'Electrocardiogram (ECG)', 'Cardiac Ultrasound', 'ENT Endoscopy', 'DEXA Bone Density Scan')",General Ultrasound
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Post-bronchodilator Spirometry', 'Cardiac Ultrasound')",In-depth Eye Examination
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'Breast Examination', 'Gynecological Examination', 'Eye Examination', 'ENT Examination', 'General Ultrasound')",Urine Test
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Breast Examination', 'Eye Examination', 'ENT Examination')",Gynecological Examination
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'ENT Examination', 'Eye Examination', 'Post-bronchodilator Spirometry', 'Chest X-ray', 'Cardiac Ultrasound', 'General Ultrasound')",Conclusion
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'ENT Examination', 'Eye Examination', 'Post-bronchodilator Spirometry', 'Chest X-ray', 'Cardiac Ultrasound')",General Ultrasound
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Post-bronchodilator Spirometry', 'Cardiac Ultrasound', 'In-depth Eye Examination')",DEXA Bone Density Scan
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'ENT Examination', 'Dental Examination', 'Chest X-ray', 'ENT Endoscopy', 'Electrocardiogram (ECG)', 'In-depth Eye Examination', 'Cardiac Ultrasound', 'General Ultrasound', 'DEXA Bone Density Scan', 'Post-bronchodilator Spirometry', 'Urine Test')",Blood Test
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Eye Examination', 'ENT Examination', 'Dental Examination', 'Urine Test')",DEXA Bone Density Scan
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Breast Examination', 'Eye Examination', 'Urine Test', 'Post-bronchodilator Spirometry', 'ENT Endoscopy', 'Electrocardiogram (ECG)', 'DEXA Bone Density Scan', 'Cardiac Ultrasound', 'General Ultrasound')",In-depth Eye Examination
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'DEXA Bone Density Scan')",ENT Endoscopy
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Breast Examination', 'Cardiac Ultrasound', 'Urine Test', 'Electrocardiogram (ECG)', 'Post-bronchodilator Spirometry')",Conclusion
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'Eye Examination', 'ENT Examination', 'Blood Test', 'General Ultrasound', 'Electrocardiogram (ECG)', 'Cardiac Ultrasound', 'Post-bronchodilator Spirometry', 'Chest X-ray')",Conclusion
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Eye Examination', 'In-depth Eye Examination', 'General Ultrasound', 'Blood Test', 'Cardiac Ultrasound', 'ENT Endoscopy', 'DEXA Bone Density Scan', 'Chest X-ray', 'Electrocardiogram (ECG)', 'Post-bronchodilator Spirometry')",Conclusion
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'ENT Examination', 'Dental Examination', 'General Ultrasound')",Conclusion
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Eye Examination', 'Breast Examination')",Dental Examination
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Breast Examination', 'Urine Test', 'Cardiac Ultrasound', 'DEXA Bone Density Scan')",ENT Endoscopy
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'ENT Examination', 'Gynecological Examination', 'Breast Examination', 'Dental Examination', 'In-depth Eye Examination')",Urine Test
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'ENT Examination', 'Dental Examination', 'Post-bronchodilator Spirometry', 'General Ultrasound', 'Urine Test', 'Cardiac Ultrasound', 'DEXA Bone Density Scan', 'In-depth Eye Examination')",Chest X-ray
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'ENT Examination', 'Eye Examination', 'DEXA Bone Density Scan', 'Chest X-ray', 'Urine Test', 'Electrocardiogram (ECG)', 'ENT Endoscopy')",In-depth Eye Examination
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Eye Examination', 'Dental Examination', 'Urine Test', 'In-depth Eye Examination', 'Post-bronchodilator Spirometry', 'DEXA Bone Density Scan', 'Electrocardiogram (ECG)', 'Blood Test')",Cardiac Ultrasound
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'Eye Examination', 'ENT Examination', 'Gynecological Examination', 'Blood Test', 'Post-bronchodilator Spirometry')",In-depth Eye Examination
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Blood Test', 'General Ultrasound', 'In-depth Eye Examination', 'Post-bronchodilator Spirometry')",Urine Test
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'Eye Examination', 'Chest X-ray', 'Cardiac Ultrasound', 'General Ultrasound', 'ENT Endoscopy', 'Blood Test', 'In-depth Eye Examination')",Conclusion
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'ENT Examination', 'Cardiac Ultrasound', 'Blood Test', 'ENT Endoscopy', 'Electrocardiogram (ECG)', 'General Ultrasound', 'Urine Test', 'Post-bronchodilator Spirometry', 'In-depth Eye Examination', 'Chest X-ray', 'DEXA Bone Density Scan')",Conclusion
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'ENT Examination', 'Eye Examination', 'Post-bronchodilator Spirometry', 'Chest X-ray', 'General Ultrasound', 'Cardiac Ultrasound', 'DEXA Bone Density Scan', 'In-depth Eye Examination', 'ENT Endoscopy')",Urine Test
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'ENT Examination', 'Dental Examination', 'Post-bronchodilator Spirometry', 'ENT Endoscopy', 'Cardiac Ultrasound')",Conclusion
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Eye Examination', 'Gynecological Examination', 'Breast Examination', 'ENT Endoscopy', 'Chest X-ray', 'General Ultrasound', 'Cardiac Ultrasound')",Electrocardiogram (ECG)
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'ENT Examination', 'Dental Examination', 'Chest X-ray', 'ENT Endoscopy', 'Electrocardiogram (ECG)', 'In-depth Eye Examination', 'Cardiac Ultrasound', 'General Ultrasound', 'DEXA Bone Density Scan', 'Post-bronchodilator Spirometry', 'Urine Test', 'Blood Test')",Conclusion
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Urine Test', 'DEXA Bone Density Scan')",In-depth Eye Examination
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Eye Examination', 'ENT Examination', 'Dental Examination', 'Urine Test', 'DEXA Bone Density Scan', 'Post-bronchodilator Spirometry', 'Blood Test', 'Cardiac Ultrasound', 'General Ultrasound')",ENT Endoscopy
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'Eye Examination', 'Chest X-ray')",Cardiac Ultrasound
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'ENT Examination', 'Gynecological Examination', 'Breast Examination', 'Dental Examination', 'In-depth Eye Examination', 'Urine Test', 'Electrocardiogram (ECG)', 'Cardiac Ultrasound', 'DEXA Bone Density Scan')",Blood Test
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Eye Examination', 'Dental Examination', 'Urine Test', 'In-depth Eye Examination', 'Post-bronchodilator Spirometry', 'DEXA Bone Density Scan', 'Electrocardiogram (ECG)', 'Blood Test', 'Cardiac Ultrasound')",Chest X-ray
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'Eye Examination', 'Breast Examination')",ENT Examination
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Eye Examination', 'Gynecological Examination', 'Electrocardiogram (ECG)')",Urine Test
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'Breast Examination', 'Gynecological Examination', 'Eye Examination', 'ENT Examination', 'General Ultrasound', 'Urine Test', 'DEXA Bone Density Scan', 'ENT Endoscopy', 'Blood Test', 'Post-bronchodilator Spirometry', 'Chest X-ray')",Electrocardiogram (ECG)
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'ENT Examination', 'Dental Examination', 'Post-bronchodilator Spirometry', 'General Ultrasound', 'Urine Test', 'Cardiac Ultrasound')",DEXA Bone Density Scan
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Chest X-ray', 'Blood Test', 'Post-bronchodilator Spirometry', 'Cardiac Ultrasound')",ENT Endoscopy
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Chest X-ray', 'Cardiac Ultrasound', 'General Ultrasound', 'In-depth Eye Examination', 'ENT Endoscopy')",Conclusion
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'ENT Examination', 'Breast Examination', 'Dental Examination', 'Gynecological Examination', 'DEXA Bone Density Scan', 'Chest X-ray')",Urine Test
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'ENT Examination', 'Dental Examination', 'Post-bronchodilator Spirometry')",General Ultrasound
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Chest X-ray', 'Electrocardiogram (ECG)')",Urine Test
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'Breast Examination', 'Gynecological Examination', 'Eye Examination')",ENT Examination
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'ENT Examination', 'Eye Examination', 'In-depth Eye Examination', 'Cardiac Ultrasound')",Post-bronchodilator Spirometry
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Eye Examination', 'ENT Examination', 'Dental Examination', 'Urine Test', 'DEXA Bone Density Scan', 'Post-bronchodilator Spirometry', 'Blood Test', 'Cardiac Ultrasound')",General Ultrasound
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Dental Examination', 'Eye Examination', 'Breast Examination', 'ENT Examination', 'In-depth Eye Examination')",Chest X-ray
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs', 'General Medicine Examination', 'Eye Examination', 'Dental Examination', 'ENT Examination', 'In-depth Eye Examination', 'Cardiac Ultrasound', 'Chest X-ray', 'Electrocardiogram (ECG)', 'ENT Endoscopy')",Blood Test
